question,answer
女人夢見出家,表示則意味著能成為丈夫的賢內助，幫助丈夫的事業發展，不僅更富裕，而且更長遠。
男人夢見女出家人,表示無數的災難會臨頭。
夢見和尚在靈堂,表示你在工作事業上、或是家庭之中將會發生一些爭吵。
男人夢見出家,表示會擺脫家庭矛盾的困擾，過上幸福的生活。
夢見瘋子,意味著要交好運。
夢見妻子瘋了,她會把家安排得井井有條。
夢見瘋子追著你跑,預示夢者心理壓力重，同時也要注意身體上的疾病與隱患。
夢見瘋子對你示好,預示夢者在喜事，未婚者，可遇到自己的另一半，結婚生子。
夢見被瘋子捉走,后又逃出來了，預示著靈感很好，用于創作。創新，設計等，再好不過。
夢見瘋子對你笑,預示夢者有好事駕到，家中有喜事，未婚男士可結婚生子，主家丁興旺。
夢見瘋子捉走你的朋友,預示著在你朋友中，你與這位朋友關系會有所破裂。
夢見瘋子對你胡言亂語,預示夢者禍從口出，與人交談時切莫言語過激，若他人說的不對，得不到自己認同，睜一只眼閉一只眼，大事化小小事化了，主吉。
夢見瘋子跟你搶東西,預示夢者未工作的人，在出來找工作這段時間會處處碰壁，結果不太理想，但是通過自身努力還是可獲得新工作。
夢見瘋子在跟你吵架,預示夢者在人際關系上會出差錯，與人不和是最普遍的事情，但是你的情況會尤為嚴重，不過在你的努力溝通下，會得到諒解。
夢見瘋子追著打,預示夢者健康如意，在事業上會有所成就，正是創業的好時機。
姑娘夢見瘋子,會嫁給一個富有、如意的男子。
跛子夢見瘋子,會找到忠誠的仆人。
富人夢見瘋子,仆人愿意為自己赴湯蹈火，這是因為自己在家里敞開內心愿意和別人分享苦樂。
未婚女子夢見瘋子,預示你將嫁給富有的男人，婚姻如意，愛情幸福。
夢見成群的女人,表示生活快樂。
夢中的女人金發碧眼,你會發現所有的諾言都是對你十分有利，使你很是快樂。
男人夢見女人,有時只是性欲望的表示。有時可能表示你和母親的關系，提醒你需要加強獨立能力。
如果夢見與陌生女人同行,提醒你要小心防備錢財丟失或被竊。
夢見和熟悉的女人在一起,夢里關系曖昧，表示你私生活可能不太嚴謹，當心會影響名譽。
夢見一位非常風騷嫵媚、舉止輕佻的女子,暗示你可能有非常狡猾的敵人需要對付。如果夢見你殺死了她，暗示你心里的欲望即將實現。
年輕女人夢見自己舉止輕佻風騷,表示做夢人心中感到潛在的危險，或是對性的不安，希望能得到男人的保護。
夢見異常美麗動人的年輕女人,不分做夢人是男是女，都有可能代表著人們心中理想化的女性氣質，表示做夢人自身對這種理想形象的向往。
夢見長著深色頭發和藍色眼睛的塌鼻子女人,意味著你將明確地宣告退出可能獲勝的比賽。如果她褐眼高鼻，表示你正在受到甜言蜜語的欺騙，從事一項危險的投機活動。如果她長著赤褐色的頭發，那你的困惑和焦慮將會有所增加。
有時男性夢中的女人只是簡單表達了自己的欲望,重復出現的色情夢說明夢者的趣味包括他的道德情感仍處于發展的初級階段。
代表你的母親,值得注意的是，你看重夢中你對她的反應，或者她說了些什么。如果這個 女人 是表現消極情緒，那么你應當放松與你母親間緊密的情感聯系。這是你獨立自我建立的前提。
對男性來說,夢見女性代表你的阿尼瑪。這時，這個女性可能是友好的，也可能是充滿危險的。友好意味著，你的阿尼瑪想讓你了解你自己仍被忽略的成分；而危險意味著她欲使你偏離正道。這個具有威脅性的阿尼瑪由一個誘惑的海妖代表。
如果夢見的女性是你生活中的一個熟人,并且夢交很色情。那么這個女性可能象征你壓抑的性欲望，或是你自己的阿尼瑪的投射，如果是后一種情況，預示著“在現實生活中你應該和你自己的阿尼瑪而不是和一般女性建立關系。”
夢見老公,吉兆，暗示夢者老公身體會更加健康。
夢見老公變僵尸,吉兆，預示著夫妻感情會變好，生活中會有驚喜的事情發生。
女人夢見自己解救老公,暗示夢者父母送的禮物會使自己更富有。
夢見老公跟自己暫時分開一段時間,回來后卻變高了許多，暗示夢者老公在外應酬，難免會有逢場作戲的時候，需要夢者多體諒、多理解，給予更多的關心。
夢見老公對某個出乎自己意料的一方不斷讓步,暗示夢者的輕率行為將給自己帶來。
夢見老公色蒼白,疲憊不堪，暗示夢者近期可能老公在生活工作中可能遭遇了比較大的壓力，需要夢者去了解、幫助老公分擔一些憂愁壓力，也可能表示是夢者或者人近期身體狀況出了點問題，提醒夢者要多關注身體健康，適當去放松，以減輕生活中的壓力。
夢見老公臉色蒼白,滿臉滄桑，預示夢者家庭成員中可能會有人生病，自己背上的擔子將會加重。
夢見老公外出,夢境主要來自潛意識中對自己老公的擔心、掛念與關心，主要是擔心老公目前的處境，有可能是工作上的，有可能是事業上的，如果老公出差，則是擔心老公的安危。
夢見老公和很多人相處很好,預示夢者老公非常優秀，會受到女人的追捧，提醒夢者應該過關心、體諒、理解老公，這樣老公會更加的愛自己。
多次夢見自己有婚外情,暗示夢者夫妻生活出現危機，自己會有眾多的追求者。
夢見老公知道自己的過去,預示夢者一切困難都會過去。
夢見和老公吵架,表明夢者與老公之間的關系還是比較融洽的，但是在生活中可能會因為自己的爭強好勝，與老公之間會有一些磕磕碰碰。
夢見和老公的前女友打架,暗示夢者很在乎自己老公，并且夢者也有很強占有欲，不允許老公與其他女人有過密切的交往，這是人之常情。
夢見老公相貌英俊,表情快樂，象征著夢者的家庭生活幸福美滿，自己的前途也一片光明，自己將會大有作為。
夢見擔心老公發掉落變成禿頂,夢境體現了夢者對老公的無能、軟弱的嫌惡和怨恨，希望老公能夠更加有能力、更加優秀。
夢見老公虐待自己,責罵自己對他不忠，暗示夢者老公很尊重自己，信任自己，然而對于夢者來說別的煩惱卻會來臨，當有其他男性向自己獻殷勤時，自己可要小心。
夢見老公和自己再次結婚,表明夢者婚后生活平平淡淡，自己希望能夠重溫結婚的那種感覺，重新給生活注入新鮮，刺激的感覺。
未婚女子夢見自己有了老公,表明夢者希望自己具有最喜歡的魅力、度和氣質。
夢見老公要和自己愛愛,暗示夢者需要改變一下自己的生活態度，有時候生活目標定得太高，往往難以立刻達到夢者要求，這時候夢者就會有很大的落差感而難以接受。夢者在生活中會感到有些壓抑不滿，就需要宣泄，提醒夢者應該改變自己的一些看法，學會知足常樂，無求常安。
夢見自己在外面與其它男人有一腿,老公要離開自己，暗示夢者老公很關心信任自己，為了維護與老公的感情，夢者也不斷的警告自己，不可去理會別的男人的誘惑。
夢見和老公打架,鬧離婚，暗示夢者最近生活壓力有點大，在生活中可能雙方有些沖突難以化解，關系有些緊張，擔心矛盾激化，應該試著舒緩壓力，做一些放松心情的事來調整好自己的心態，也表明夢者在日常生活中可能已經對自己的老公，提醒夢者應該試著去了解自己老公的苦，增進彼此間的相互了解最重要。
夢見老公殺人,如果所殺的人是夢者認識的，這些人平時可能批評自己，或對自己有不良的評論和評價，或者這些人平時做的事自己不喜歡，這時就希望有人幫自己去教訓那些人，所以這些事壓抑著自己，并轉化為潛意識，提醒夢者應該在適當的時候宣泄出來，心情自然會舒暢。
夢見老公殺人后去自首,并給我留下很多錢，我抱著老公痛苦，表示夢者怕失去了生活的信念，老公留下暗示夢者剩下的只有一些身外之物，老公滿身是，表示信念一直支援著自己。
夢見老公被殺,是發財的兆頭，意味著夫妻倆會幸福、愉快，生活富裕。
單身貴族夢見老公被殺,預示夢者的會成功。
夢見老公被殺死在柜子里自己很悲痛,暗示夢者在深層心理上對老公有很強的依賴感，夢者的悲痛其實是一種恐懼和無助，內心深處其實是對老公有些失望。
夢見自己結婚不久后,老公被另外一個年輕男人殺死，暗示夢者在現實生活中可能會有年紀大的男人的垂青，如果不是，這個夢的大意是目前感情有些混亂，希望自己能夠理順一下。
夢見老公和別的女人在一起時被殺,預示夢者可能會有一些不好的流言隨后而來，提醒夢者對流言不可盡信，應該有所判斷。
夢見老公死了,暗示夢者是由于夫妻感情過于深厚，平日自己對老公關愛備至而引起，建議夢者繼續增強夫妻感情，提醒老公要做到對老婆更加關心愛護，此夢一般只由結發夫妻所做；另外也可能是夢者認為老公不夠細心體貼，對自己的關心未達到期望值，自己會有一種失望的感覺。
夢見老公死了,吉兆，表明夢者老公身體會很健康；
夢見生病的老公死了,暗示夢者疾病會早日離去，老公很快會康復；
夫妻吵架后夢見老公死了,意味著夫妻感情會和好如初。
夢見和老公,暗示夢者希望能夠得到老公更加無微不至的關心，得到更多的關愛的強烈心理。
夢見和老公親熱但旁邊有人看著,暗示夢者在淺意識里是個很想表現自己并很想得到別人賞識的人。
夢見自己與分居很久的老公做愛,這表明在夢者內心深處還是很在乎自己的老公，夢者真的應該好好的和他談談，其實夫妻之間的事情也絕不是三言兩語就可以說清楚解決的，需要彼此心與心的溝通。
夢見自己和已經想離婚的老公瘋狂做愛,表明在夢者內心深處很渴望有一個親密的人能夠給自己從心靈到身體的撫慰。
夢見與離婚幾年的前夫瘋狂做愛,暗示夢者也許現在還沒有正常的性生活吧，被積壓的欲望在夢里找到了出口。
夢見自己愛上有婦之夫,暗示夢者的婚姻不美滿，自己也對此有些不滿意。
夢見自己和別人的老公相愛,暗示夢者的婚姻生活并沒有自己想象中的那樣幸福。
單身女子夢見自己和別人的老公相愛,表示夢者對目前單身生活感到很郁悶，希望盡快找到如意郎君，找到屬于自己的幸福。
女人夢見自己的老公裸奔,提醒夢者不要因為對一件事情的看法與老公不同，就與老公發生爭執，那樣不利于家庭和睦。
夢見老公光身,意味著會有好事發生，也許會有一筆巨款由方面得來。
年輕人夢見老公光身,則主近期運程，運氣非常盛，雖順利，但也要避免言行過份，招惹是非，要謙虛與低調做人。
求職者夢見老公光身,意味著夢者在求職場上口才能力較為重要，招聘方也較看重這一點，提醒夢者應該做好充分的準備，不要失去難得的面試機會。
與陌生女人做愛性幻想,若夢中出現的做愛物件，并不是你的妻子或女友，其實大可不必先內疚自責；該夢境只不過是反映出你的性幻想，在實際生活中，你的確是個安守故常的乖男人。
與不美的女人做愛欣賞內在美,這是潛意識在告訴你，你的內心已經發現了她的優點，并非由于漂亮外貌而喜歡上她。年輕男人頻繁會夢到不漂亮的女性，但隨著年齡增長、心境成熟后，這種夢也會消失。
與同性做愛和異性關系緊張,這類有關同性戀的夢，并不指的是你有同道傾向，而是種對男人的心理安慰，意味著你最近和異性的關系緊張，而同性反而最能了解自己的思想和感情。
夢中亂倫需要親人安慰,這并非是個有違倫常的怪夢，且同樣是反映出男女關系緊張，或交往碰到困難時的焦慮心理；你內心正期望家庭成員能夠認同、安慰你，但在夢中卻變成了性愛場面。
夢見在做愛,是表示你的情感或性欲被壓抑住了，另外也是象征著你本身有新的活力、創作意念很高。此外夢中作愛的感覺如果是很舒服的，表示身心健康，如果是感覺不舒服，就有可能身體亮紅燈了，要住意別太勞累了，請多休息。
夢見看到別人在做愛,這是表示你太把注意力放在某件事情上了，而忽略了其他方面的人、事、物，這也是暗示你已經忽略了心愛的人的感受，或者是你把重要的事情給忽略了，應該要把注意力轉響應該要做的事才對。
夢見和喜歡的人做愛,這是表示最近可能會出現與你心靈相通的人，有桃花降臨的機會。但如果你是有交往物件的人了，也代表你們的感情方面出現了問題，現在的你有不專情的現象，所以兩人會起摩擦。
夢見和同性做愛,這是一個人際關系不好的夢，是代表你的交友態度有問題、也有可能有些偏頗，你的一舉一動很容易受到大家的議論，還會在背后被指指點點，沒有自己的空間可言，所以要稍微檢討一下自己的交友狀況才行。
夢見和上司或長輩做愛,這是代表你對于處理危機的能力會增強，工作上的技術與專業知識也會不斷吸收、提升，你的知識水平也會逐漸成長，是個層次提升的好夢。
夢見和理想的物件做愛（如明星）,有可能是仰慕的明星、有可能是外圍一個不容易追求到的人，這是表示你的運勢如日中天，做什么事情都很順，好事好運不斷降臨在你身上，是個很棒的夢喔！
夢見引誘人做愛,表示你在近期要多注意自己的行為，有可能是會因為一時的貪心、或是沖動行事，而導致大錯誤發生，更有可能會誤入歧途。
夢見和討厭的人做愛,是暗示你可能會有不好的事情發生，尤其在人際關系上可能會出現問題，你想要去解決但又力不從心。此外，也表示你心中有想出去偷腥的想法產生。
夢見和不熟悉的人接吻 （親嘴）,會陷入敵人的圈套。小心啊。。。
夢見和外國人接吻 （親嘴）,能征服敵人。強！
夢見吻妻子或孩子 ,會不愛他們。咋辦？
夢見吻敵人 ,會與他們講和。以和為貴:)
小伙子夢見與戀人接吻（親嘴） ,是祥瑞，很快要結為伉儷。恭喜、恭喜！
夢見親吻,意味著夢者憑借自己的品德能得到廣泛的支援和擁護。
夢見親吻自己的敵人,意味著夢者與對方很快就會和解。
夢見親吻戀人,意味著雙方即使有了小矛盾和糾紛都能很快化解，感情會更深厚，很快就會結合。
夢見親吻自己的妻子和孩子,意味著夢者希望自己在家庭中能夠很好地盡到一家之主的責任。
夢見被男人強吻,強吻是在他人不愿意的狀況下的強行親吻。對女孩來說，這是一種暴力行為，夢中的強吻，是渴望被愛的象征。
未婚女士夢見被男人強吻,是性的萌動的象征，意味著不久會有意中人出現在夢者生活中。
已婚女士夢見被男人強吻,意味著夢者存在夫妻生活的困惑，提醒夢者應該多與進行溝通，讓彼此相互更多了解。
已婚女士夢見被曾經的戀人強吻,意味著夢者對戀人還有一絲絲留戀，但是卻處在被動地位。
夢見遺棄,預示近期的運勢平穩上升，要繼續積極努力，就能很快獲得是成功。
夢見被朋友遺棄,表示生活將會遇到點麻煩。
夢見被遺棄,表示你在籌劃的事情會遭遇到困難和挫折，而且會找不到什么人能夠幫你的忙，你也會手足無措，不知如何是好。
夢見自己遺棄嬰兒,預示了你在生活中的選擇雖然已經找到了答案，但自己往往不能接受它。
夢見別人遺棄的嬰兒,預示著你內心需要撫慰，小孩子也是不成熟的象征，如果你目前正處于窘境時，就應該回到原點去想清楚，或者要從頭細細思量，才能把事情順利解決。
打算出門的人夢見被人遺棄,建議外出不利，雷電小心。
準備考試的人夢見被人遺棄,意味著口試或復試分數欠佳，影響錄取成績。
懷有身孕的人夢見被人遺棄,預示生男孩，雨天少出門。
創業的人夢見被人遺棄,代表經營不利，起伏不定，未能如愿，虧損不少。
談婚論嫁的人夢見被人遺棄,說明宜勞媒人多出力或主動追求，夏占難成。
夢見與情人私奔,出外旅行會陷人壞人的魔掌。
夢見自己的情人和另一個人私奔,預示她或他的不忠。
夢見別人私奔,你的戀情已經讓你感到厭惡或失望，建議你還是早早脫身為好，避免雙方都受到傷害。
夢見自己和別人私奔,預示感情上將遭遇挫折，或要和戀人斷絕關系。
已婚者夢見私奔,你目前的工作和你的能力很不相符，如果你要是改變這種方式方法對你的名望將會受到損害。
未婚者夢見私奔,你的另一半可能會對你不忠，戀情破裂的可能性很大。
求職者夢見私奔,預示對新環境的適應能力增強，表現自己的能力也有所提高，多和面試官交流，會有比較滿意的結果。
準備參加考試的人夢見私奔,學習成績很好。
有夫之婦夢見自己和別人私奔,可能會和家人發生紛爭，家庭不愉快。
男人夢見和有錢的女人私奔,預示著最近的情緒不高，不過困難終究會過去，光明就在前方。
男人夢見和別的女人私奔,而不是自己的女友或妻子，預示要招致禍患，近期宜提高警提，謹慎小心行事。
夢見情人,人際關系籠罩著陰影。好友之間可能產生糾紛。這時你的處事態度將對你的信譽有很大影響，所以必須審慎行動。
夢見與情人談情說愛,運下降。對方已對你的任性、自以為是等脾氣不敢恭維。這樣下去，他的心早晚會離你而去，要好好反省。
夢見與情人,將產生性方面的煩惱。你對精上的溝通交流很享受，但是也的更多，已對精神上的愛情無法滿足，也深怕做出遺恨終身的事，……這種不知何去何從的心情，將持續一段時間。
夢見情人送你禮物,愛情運急速上升。兩人將處于相知相愛的幸福里，但要小心，不可因一時沖動而做出遺恨終身的事，愛情要學會經營，經營的好那感情就會長長久久，幸福甜蜜。
夢見情人向你表達愛意,情敵出現的可能性極大。但不能以強硬的態度應付，必須要保持寬容與溫柔，如此情敵不久便會離去，兩人的愛情又可恢復。
夢見情人與別人顯得很親密,精神方面的健康狀況下降。你的心已經疲備不堪，最好暫時停止，過一段安靜的生活。如果非約會不可，可以用電話解決。
夢見向情人表達情愫,愛情方面很順利。兩人心心相印，可以過快樂的日子。比如能一起做有益的體育活動，打打臺球、網球，，羽毛球等，多交流溝通，更能增進感情。
夢見已經分的情人,表示一些消極的態度，和令你困擾的人際關系。
在夢中和對方關系很差,代表你的人際關系會轉好，還有你和對方的關系有可能以另一種形式出現；
在夢中和對方關系很好、相處得很開心,是反映了你現在寂寞的心態；
在夢中和對方,暗示你的一種遺憾的情節，對于不能在一起走向婚姻的殿堂的一種心理彌補，其實你和他的關系已經劃清界線，你是完全決絕的了。
未婚者夢見初戀情人,提醒夢者可以和出去約會，增加彼此的感情交流，不能總是想著以前的戀情，那樣會影響當前的戀情的，要學會放棄舊有的，那才能迎接新的存在的。
中年夢見初戀情人,意味著夢者的婚姻存在感情危機，渴望改善夫妻關系。
可能暗示你正經歷著人生的過渡期,或暗示改變的來臨。
夢見許多漂亮可愛的小孩,表示你會有光明的前途，有多人會祝福你，如果你與孩子一起玩耍，表示你所計劃的事情與感情都會順順利利。
夢見一位很可愛、趣致的小朋友,你會收到年終的獎金、雙薪。
夢到抱小孩,在夢中看到有可愛的小孩子，你忍不住的將他抱起來，如果你手中抱的是男孩子，表示你的計劃、愿望可以達成，如果你抱起的是女孩子，則可能在某事件中會發生紛爭。
夢見約會時出現小孩,夢到你跟情人在約會時突然出現小孩子，有可能是另一半想要生個孩子了。另外因為小孩子也是代表不成熟的意思，所以也是在暗示你跟情人之間的關系還不夠穩定，兩個人還必須在精神方面、溝通方面多努力才行。
夢見自己的女兒,夢到自己的女兒，表示你身邊不愉快的事件都會一掃而空，而如果你的女兒在夢中沒有符合你的期望，那也許會出現讓你操心的事情。
夢見欺負小孩兒 , 人際關系有陰影。你的隱私將被周圍的人發覺。必須小心加以防范，別忘了隔墻有耳!
夢見在生氣的小孩,夢見一個在生氣的小孩，代表會有人帶給你麻煩，而本來是很好的朋友也會反目，也無法再合作下去了。
夢見自己的孩子生病,夢見自己的小孩生病感冒了，表示你擔心過度了，小孩即使沒有什么大毛病，但總是讓你無法放下心來。假如夢見孩子病死，則表示你有很大的心事，或者是會有些口舌將困擾著你。
夢見有小孩殘廢,你會有麻煩事發生，宜小心
夢見抱起嬰兒,財運相當順利的象征。你的存款將大幅度增加，但絕對不可借給別人，因為要不回來的可能性很大。
夢見欺負小孩兒,人際關系有陰影。你的隱私將被周圍的人發覺。必須小心加以防范，別忘了隔墻有耳!
夢見與兒童一起游戲,學校里將發生快樂的事。新近成為會員的后生小輩，竟是英俊無比的異性……每天都盼望快點下課。
夢見小孩得病或身體疼痛,因他人的詆毀、誹謗等蒙受損失，歷盡艱辛的征兆。
解夢夢見小孩的身體萎縮,這是暗示夢里的小孩有厄運伴隨。
夢見小孩的尸體在棺材中,自己的事情被別人認可的征兆。
夢見身旁的小孩消失,苦惱、擔心的難題得以解決的征兆。
夢見剛出生的孩子直立行走,自己的業績公布之后，立刻受到好評。
夢見小孩夭折或失蹤,現存的障礙和擔心消除，逐漸安定下來并有所發展的征兆。
夢見剛出生的嬰兒在大小便,這是暗示不吉利的事情在等待著你，你可能由于信賴的人而經歷不愉快的事情或倒霉的事情。
夢見自己的胸前或肚子上有小孩在玩耍或睡覺,顯示有頭痛的問題或擺脫不掉的包袱的夢境，不管怎樣努力都得不到成果而白費力氣的意思。
夢見手腳殘缺或面部不完整的小孩,推進的事情突然遇到難關，而且以失敗告終的可能性很高。
夢見自己成為小孩在哭,暗示面臨不可回避的現實，只能無條件的接受的意思。如果在諸事順利的情況下做了這樣的夢，暗示將來會有不愉快的事情發生。
夢見痛哭的孩子,事情遇到挫折而苦悶、消沉的征兆。因自己沒有能力、也沒有自信解決這個事情，將要面臨舉步維艱的處境。
夢見發生交通事故,把小孩的尸身從車底下拉出來的景象，這是這段時間以來，由于小孩而苦惱的事情輕松地得以解決的征兆。也是說，大膽地挑戰新自我的時機已經到來。
夢見裸體的男子撫摩嬰兒,這個夢是暗示碰到倒霉事情的夢境。
夢見長相寒酸、衣不蔽體,食不果腹的小孩，如果這段時間運氣好，那么暗示以后開始走下坡路的意思。
夢見看著小孩被大火燒死,自己卻只能無力的跺腳著急的場面，順利進行的事情遇到麻煩而面臨失去一切的憂慮，或者由于財產及不利的原故，甚至有重傷或失去性命的危險。
夢見走路時跟隨著不認識的小孩,暗示不管怎樣努力，都無濟于事，困難依舊。
夢見面前出現不認識的小孩稱自己為祖父母或父母,你將他攬入懷里的情景，被人誤會或卷入不相干的某件事中，深感委屈，但又難以宣泄的意思。
夢見小孩受傷或患病而焦愁,如果夢中的小孩是自己的子女，是預示有事故或疾病發生。如果是未婚者或沒有子女的人，暗示推進的事情將會遇到難題的意思。
夢見小孩給你傳遞信件,因小事與別人爭吵的預兆。
夢見小孩哭,生活逐漸變得艱辛，出現令人擔心的事情，生計艱難的兇兆。
夢見靈魂帶來剛出生的嬰兒或突然有嬰兒出現在自己的面前,這是出生將來成為學問高深的人物的胎夢。
夢見自己的孩子出生,生財或獲利的征兆。而且，還有可能懷孕。
夢見討人喜歡的小孩說話或開門進屋,出現金錢上獲利的事情或有子女出生、懷孕等喜事發生的祥夢。
夢見跟過來抱著孩子或背著孩子的女人,這是因小事與人激烈爭吵的征兆。
夢見自己暗戀的人,而且不止一次，說明你在心理上已經過份的壓抑自己，同時情緒低落，建議你應該振作起來，最好找朋友聊聊才能解開心結。
夢見暗戀的人,在夢中和對方接吻，或像情人一般的交往，代表你和他能成為情人的機會很微。
如果在夢中只可從遠方望對方,表示你和他實際上溝通有問題。
如果在夢中看見對方離你遠去,代表實際上你和他是有機會發展的，只是你常常錯失機會而已。
夢見暗戀的人對你很冷淡,表示你們的戀情順利發展，沒有什么阻礙。
夢見暗戀的人對你很熱情,表示你有可能被暗戀的人出賣，或者是他對你的感情已經變質了。
夢見和暗戀的人關系很差,代表你的人際關系會轉好，還有你和對方的關系有可能以另一種形式出現。
夢見和暗戀的人關系很好、相處得很開心,是反映了你現在寂寞的心態。
夢見和暗戀的人結婚,則代表你和他的關系已經劃清界線，你是完全決絕的了。
未婚男女夢見自己暗戀的人,預兆你的愛情路上障礙多，要有耐性，同時以誠待之，就有成功希望。
中老年人夢見自己暗戀的人,主體質有偏弱的傾向，精神狀況也有些消沉，容易出現胃口改變或胃部消化功能不佳，飲食上以易消化為原則。
